epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.556,0.49631,0.29711,1.03355,0.94152,0.95332,0.97744,0.85259,0.55206,0.33297,1.04716,0.00023736,0.00023736,0.00023736
2,314.833,0.54281,0.38019,1.06603,0.92279,0.94106,0.97411,0.83754,0.59085,0.36211,1.0582,0.0004283,0.0004283,0.0004283
3,470.987,0.54982,0.4095,1.07203,0.91697,0.93184,0.9677,0.8218,0.62132,0.39994,1.09476,0.000572115,0.000572115,0.000572115
4,626.588,0.56513,0.43025,1.08715,0.92409,0.93875,0.97037,0.82739,0.59565,0.38546,1.08624,0.000501942,0.000501942,0.000501942
5,782.434,0.54865,0.3875,1.07312,0.94705,0.92829,0.97144,0.82956,0.60147,0.37465,1.08694,0.000431256,0.000431256,0.000431256
6,938.483,0.54002,0.37342,1.06428,0.93929,0.93952,0.97105,0.82795,0.5973,0.36797,1.07509,0.00036057,0.00036057,0.00036057
7,1094.84,0.52059,0.32566,1.05031,0.94652,0.94846,0.98019,0.84466,0.57653,0.33587,1.05344,0.000289884,0.000289884,0.000289884
8,1251.38,0.50657,0.31106,1.03529,0.9618,0.95516,0.98399,0.8527,0.56587,0.30631,1.05947,0.000219198,0.000219198,0.000219198
9,1408.4,0.49032,0.28731,1.0299,0.96212,0.95833,0.98445,0.8584,0.55452,0.28705,1.05347,0.000148512,0.000148512,0.000148512
10,1566.15,0.4752,0.2667,1.01839,0.95896,0.95991,0.98616,0.86475,0.54207,0.28044,1.04541,7.7826e-05,7.7826e-05,7.7826e-05
