epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.371,0.8799,1.78402,1.31092,0.6041,0.53103,0.56096,0.39802,0.97386,2.11979,1.51346,0.000237365,0.000237365,0.000237365
2,317.219,0.91228,1.38095,1.31715,0.73831,0.57585,0.68258,0.50873,0.95332,1.40732,1.43217,0.000465953,0.000465953,0.000465953
3,474.773,0.92266,1.28563,1.32084,0.72755,0.6618,0.74235,0.5481,0.92296,1.13314,1.40335,0.000685116,0.000685116,0.000685116
4,632.383,0.88871,1.19896,1.30148,0.7627,0.71602,0.79935,0.6109,0.87613,0.98023,1.36384,0.000671588,0.000671588,0.000671588
5,790.547,0.87323,1.08248,1.2934,0.79782,0.75837,0.83519,0.6469,0.83727,0.88403,1.31982,0.000657451,0.000657451,0.000657451
6,948.466,0.82097,1.01367,1.25459,0.82515,0.75812,0.84616,0.66556,0.78993,0.81891,1.25559,0.000643314,0.000643314,0.000643314
7,1106.37,0.81048,0.97409,1.24772,0.85894,0.79235,0.8909,0.70666,0.75827,0.72716,1.23688,0.000629177,0.000629177,0.000629177
8,1264.2,0.80023,0.89441,1.23493,0.82849,0.81404,0.89503,0.71669,0.75088,0.65583,1.22439,0.00061504,0.00061504,0.00061504
9,1422.09,0.76611,0.83062,1.21612,0.8737,0.81178,0.90211,0.71912,0.72804,0.63438,1.20482,0.000600902,0.000600902,0.000600902
10,1579.9,0.76127,0.81897,1.20573,0.87108,0.81514,0.89855,0.72601,0.72786,0.63782,1.21389,0.000586765,0.000586765,0.000586765
11,1737.67,0.75191,0.80266,1.19959,0.90411,0.81046,0.91923,0.74788,0.70856,0.59333,1.19748,0.000572628,0.000572628,0.000572628
12,1895.77,0.7484,0.75645,1.20073,0.89109,0.83144,0.92169,0.75215,0.70823,0.57935,1.19411,0.000558491,0.000558491,0.000558491
13,2053.58,0.74278,0.7484,1.19738,0.86023,0.86305,0.92701,0.74846,0.72436,0.55063,1.19278,0.000544354,0.000544354,0.000544354
14,2210.93,0.72674,0.72261,1.18485,0.88787,0.85809,0.93412,0.76262,0.69395,0.53545,1.17614,0.000530216,0.000530216,0.000530216
15,2368.82,0.71109,0.69266,1.17675,0.8994,0.86465,0.93289,0.76154,0.69904,0.53536,1.17535,0.000516079,0.000516079,0.000516079
16,2526.3,0.71517,0.66775,1.17609,0.90749,0.86815,0.94057,0.77045,0.68687,0.5223,1.16589,0.000501942,0.000501942,0.000501942
17,2684.59,0.7067,0.6737,1.1669,0.89031,0.86675,0.9408,0.77013,0.68625,0.50052,1.16806,0.000487805,0.000487805,0.000487805
18,2842.21,0.70259,0.64523,1.16927,0.89957,0.88745,0.95126,0.78178,0.67725,0.46849,1.15254,0.000473668,0.000473668,0.000473668
19,3000.3,0.69137,0.63433,1.16147,0.89413,0.8826,0.94064,0.76773,0.67853,0.49394,1.15705,0.00045953,0.00045953,0.00045953
20,3157.92,0.68101,0.61434,1.15663,0.8901,0.86884,0.94027,0.77859,0.66877,0.49438,1.16223,0.000445393,0.000445393,0.000445393
21,3315.81,0.689,0.62663,1.15672,0.92868,0.88867,0.95415,0.78394,0.67774,0.44646,1.15371,0.000431256,0.000431256,0.000431256
22,3474.1,0.68533,0.59674,1.1562,0.91223,0.90432,0.95578,0.7896,0.67344,0.44978,1.14665,0.000417119,0.000417119,0.000417119
23,3632.07,0.66348,0.5719,1.14407,0.93012,0.8956,0.95188,0.79114,0.64959,0.43202,1.13498,0.000402982,0.000402982,0.000402982
24,3790.05,0.66563,0.56333,1.14188,0.92728,0.89407,0.95569,0.79538,0.65203,0.42847,1.13428,0.000388844,0.000388844,0.000388844
25,3948.35,0.65817,0.54881,1.12855,0.89745,0.90745,0.95489,0.78919,0.66976,0.44322,1.14995,0.000374707,0.000374707,0.000374707
26,4106.45,0.65467,0.54117,1.13168,0.92269,0.91029,0.95946,0.79885,0.64308,0.4147,1.12988,0.00036057,0.00036057,0.00036057
27,4265.29,0.64646,0.52899,1.13188,0.92294,0.91271,0.96059,0.80092,0.65112,0.40951,1.12404,0.000346433,0.000346433,0.000346433
28,4424.1,0.66666,0.53595,1.13488,0.91128,0.92453,0.96226,0.80485,0.63788,0.40918,1.11597,0.000332296,0.000332296,0.000332296
29,4583.17,0.6415,0.51603,1.12731,0.90572,0.91082,0.95526,0.80142,0.63752,0.42229,1.13055,0.000318158,0.000318158,0.000318158
30,4741.65,0.63349,0.51559,1.11552,0.92681,0.89894,0.95722,0.80374,0.63472,0.40997,1.11736,0.000304021,0.000304021,0.000304021
31,4899.71,0.64162,0.50765,1.12429,0.91725,0.91517,0.96121,0.80634,0.64155,0.3995,1.12989,0.000289884,0.000289884,0.000289884
32,5058.32,0.62888,0.49151,1.12163,0.93363,0.91293,0.96328,0.80475,0.6348,0.38198,1.12032,0.000275747,0.000275747,0.000275747
33,5216.49,0.61596,0.4828,1.11307,0.91656,0.91663,0.96231,0.80843,0.62109,0.3889,1.11732,0.00026161,0.00026161,0.00026161
34,5374.58,0.61359,0.48159,1.1091,0.93625,0.90361,0.9602,0.8119,0.62525,0.38441,1.12461,0.000247472,0.000247472,0.000247472
35,5532.68,0.62139,0.48129,1.12637,0.92801,0.9124,0.96124,0.8075,0.62728,0.38805,1.11747,0.000233335,0.000233335,0.000233335
36,5690.57,0.6038,0.4585,1.09908,0.91278,0.927,0.96537,0.81234,0.61651,0.37811,1.10449,0.000219198,0.000219198,0.000219198
37,5848.84,0.59233,0.44501,1.09208,0.91241,0.93415,0.96599,0.81606,0.61519,0.37294,1.10701,0.000205061,0.000205061,0.000205061
38,6006.86,0.59645,0.43814,1.09451,0.92827,0.92236,0.96529,0.8168,0.61697,0.36741,1.10295,0.000190924,0.000190924,0.000190924
39,6165.22,0.59441,0.43551,1.09552,0.93175,0.93068,0.96765,0.81862,0.61395,0.35773,1.10441,0.000176786,0.000176786,0.000176786
40,6323.17,0.58819,0.43047,1.09319,0.93708,0.93081,0.9667,0.81939,0.60688,0.34919,1.09959,0.000162649,0.000162649,0.000162649
41,6482.19,0.50213,0.3087,1.03661,0.93427,0.93088,0.96497,0.8163,0.61144,0.35618,1.1035,0.000148512,0.000148512,0.000148512
42,6639.77,0.49335,0.30405,1.03259,0.93637,0.91836,0.96586,0.82057,0.60905,0.35931,1.10771,0.000134375,0.000134375,0.000134375
43,6797.72,0.49364,0.2879,1.03004,0.9349,0.93288,0.9643,0.81979,0.61232,0.35166,1.11289,0.000120238,0.000120238,0.000120238
44,6955.47,0.48146,0.28466,1.02463,0.93156,0.93774,0.96602,0.82503,0.60607,0.33964,1.10681,0.0001061,0.0001061,0.0001061
45,7113.08,0.48085,0.27502,1.02137,0.94365,0.92473,0.96787,0.82475,0.60245,0.33655,1.08605,9.19632e-05,9.19632e-05,9.19632e-05
46,7270.46,0.47787,0.27654,1.00926,0.93659,0.92981,0.96634,0.82315,0.60008,0.33943,1.0929,7.7826e-05,7.7826e-05,7.7826e-05
47,7427.86,0.46766,0.26251,1.00901,0.92638,0.94392,0.96887,0.82818,0.59258,0.32873,1.09199,6.36888e-05,6.36888e-05,6.36888e-05
48,7585.44,0.46026,0.25269,1.00654,0.92855,0.94331,0.96753,0.82726,0.59454,0.32853,1.09555,4.95516e-05,4.95516e-05,4.95516e-05
49,7742.75,0.45414,0.2478,1.00018,0.93065,0.94024,0.96697,0.82746,0.59514,0.33219,1.09512,3.54144e-05,3.54144e-05,3.54144e-05
50,7900.14,0.44865,0.23908,0.99711,0.92955,0.93699,0.96702,0.82969,0.59378,0.32772,1.09429,2.12772e-05,2.12772e-05,2.12772e-05
